City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Luderitz,NA,-26.6481,15.1594,60.84,81,100,11.95,overcast clouds
297,Coihaique,CL,-45.5752,-72.0662,44.55,42,40,6.91,scattered clouds
298,Ahipara,NZ,-35.1667,173.1667,54.75,63,85,2.01,overcast clouds
299,Vangaindrano,MG,-23.35,47.6,65.7,92,20,5.84,moderate rain
300,Te Anau,NZ,-45.4167,167.7167,40.44,80,60,1.59,broken clouds
301,Angoche,MZ,-16.2325,39.9086,72.14,78,0,3.71,clear sky
302,Cayenne,GF,4.9333,-52.3333,86.04,70,0,10.36,light rain
303,Malumfashi,NG,11.7853,7.6218,73.17,88,97,8.88,overcast clouds
304,Broken Hill,AU,-31.95,141.4333,46.31,70,4,15.19,clear sky
305,Zhigalovo,RU,54.8097,105.1578,33.98,90,6,2.44,clear sky
306,Portland,US,45.5234,-122.6762,71.58,56,100,6.91,overcast clouds
307,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.47,32,80,0.56,moderate rain
308,Monki,PL,53.405,22.7979,50.68,69,16,11.88,few clouds
309,Boa Vista,BR,2.8197,-60.6733,91.38,46,20,5.75,few clouds
310,Polva,EE,58.0603,27.0694,51.73,88,89,11.32,overcast clouds
311,Mount Gambier,AU,-37.8333,140.7667,48.11,93,75,18.41,light intensity shower rain
312,San Patricio,US,28.017,-97.5169,92.17,48,70,10.67,broken clouds
313,Harper,LR,4.375,-7.7169,76.73,84,98,12.44,light rain
314,Necochea,AR,-38.5473,-58.7368,65.12,51,100,13.51,overcast clouds
315,Longhua,CN,23.6137,114.1919,75.43,77,0,0.92,clear sky
316,Messina,IT,38.1933,15.5497,82.94,61,1,5.75,clear sky
317,Havoysund,NO,70.9963,24.6622,46.63,85,100,23.38,light rain
318,Jumla,NP,29.2747,82.1838,58.8,95,100,1.39,overcast clouds
319,Kyshtovka,RU,56.555,76.6271,51.94,63,100,3.31,overcast clouds
320,Manaus,BR,-3.1019,-60.025,88.3,70,20,2.3,few clouds
321,Attock,PK,33.7695,72.3611,80.4,70,2,6.22,clear sky
322,Tecpan,GT,14.7623,-90.9947,62.89,93,100,2.93,overcast clouds
323,Inta,RU,66.0317,60.1659,53.01,69,100,9.82,overcast clouds
324,Tecoanapa,MX,16.5167,-98.75,82.53,76,100,7.72,overcast clouds
325,Brugelette,BE,50.5958,3.8536,50.76,93,97,10.36,light rain
326,Billings,US,45.7833,-108.5007,76.28,39,40,5.99,scattered clouds
327,Caravelas,BR,-17.7125,-39.2481,72.9,82,9,5.28,clear sky
328,La Tuque,CA,47.4334,-72.7824,59.86,45,14,8.5,few clouds
329,Padang,ID,-0.9492,100.3543,75.25,88,49,3.44,scattered clouds
330,Terrace Bay,CA,48.7834,-87.1,57.29,82,100,11.72,light rain
331,Lillooet,CA,50.6856,-121.942,50.61,94,93,5.32,overcast clouds
332,Derzhavinsk,KZ,51.1,66.3167,50.22,35,24,11.52,few clouds
333,Upernavik,GL,72.7868,-56.1549,37.0,90,13,13.73,few clouds
334,Uwajima,JP,33.2238,132.56,78.08,80,100,5.46,heavy intensity rain
335,Port-Gentil,GA,-0.7193,8.7815,78.76,78,75,10.36,broken clouds
336,Itaqui,BR,-29.1253,-56.5531,69.84,63,24,13.65,few clouds
337,Maracaju,BR,-21.6144,-55.1683,76.24,45,71,6.26,broken clouds
338,Svetlogorsk,BY,52.6333,29.7333,47.77,82,12,7.29,few clouds
339,Pitimbu,BR,-7.4706,-34.8086,77.59,71,9,10.38,clear sky
340,Iquique,CL,-20.2208,-70.1431,61.43,66,24,3.04,few clouds
341,Doka,SD,13.5167,35.7667,70.86,94,73,11.43,moderate rain
342,Sheridan,US,44.8333,-106.9173,71.46,57,100,9.22,overcast clouds
343,Carrboro,US,35.9101,-79.0753,84.25,54,0,2.77,clear sky
344,Nieuw Nickerie,SR,5.95,-56.9833,83.23,77,98,12.1,overcast clouds
